"fecha"	"cnt"
"2010-09-03"	"13"
"2010-09-04"	"26"
"2010-09-05"	"24"
"2010-09-06"	"21"
"2010-09-07"	"11"
"2010-09-08"	"16"
"2010-09-09"	"17"
"2010-09-10"	"23"
"2010-09-11"	"20"
"2010-09-12"	"25"
"2010-09-13"	"17"
"2010-09-14"	"15"
"2010-09-15"	"18"
"2010-09-16"	"19"
"2010-09-17"	"13"
"2010-09-18"	"23"
"2010-09-19"	"21"
"2010-09-20"	"28"
"2010-09-21"	"14"
"2010-09-22"	"14"
"2010-09-23"	"10"
"2010-09-24"	"10"
"2010-09-25"	"26"
"2010-09-26"	"18"
"2010-09-27"	"20"
"2010-09-28"	"13"
"2010-09-29"	"8"
"2010-09-30"	"15"
"2010-10-01"	"37"
"2010-10-02"	"17"
"2010-10-03"	"19"
"2010-10-04"	"26"
"2010-10-05"	"17"
"2010-10-06"	"14"
"2010-10-07"	"25"
"2010-10-08"	"14"
"2010-10-09"	"14"
"2010-10-10"	"16"
"2010-10-11"	"19"
"2010-10-12"	"22"
"2010-10-13"	"13"
"2010-10-14"	"8"
"2010-10-15"	"20"
"2010-10-16"	"15"
"2010-10-17"	"19"
"2010-10-18"	"15"
"2010-10-19"	"20"
"2010-10-20"	"22"
"2010-10-21"	"15"
"2010-10-22"	"15"
"2010-10-23"	"20"
"2010-10-24"	"16"
"2010-10-25"	"15"
"2010-10-26"	"9"
"2010-10-27"	"13"
"2010-10-28"	"9"
"2010-10-29"	"13"
"2010-10-30"	"18"
"2010-10-31"	"16"
"2010-11-01"	"28"
"2010-11-02"	"23"
"2010-11-03"	"13"
"2010-11-04"	"13"
"2010-11-05"	"20"
"2010-11-06"	"11"
"2010-11-07"	"21"
"2010-11-08"	"20"
"2010-11-09"	"14"
"2010-11-10"	"9"
"2010-11-11"	"11"
"2010-11-12"	"18"
"2010-11-13"	"20"
"2010-11-14"	"16"
"2010-11-15"	"19"
"2010-11-16"	"14"
"2010-11-17"	"18"
"2010-11-18"	"13"
"2010-11-19"	"10"
"2010-11-20"	"22"
"2010-11-21"	"6"
"2010-11-22"	"15"
"2010-11-23"	"14"
"2010-11-24"	"16"
"2010-11-25"	"14"
"2010-11-26"	"14"
"2010-11-27"	"11"
"2010-11-28"	"14"
"2010-11-29"	"13"
"2010-11-30"	"13"
"2010-12-01"	"15"
"2010-12-02"	"14"
"2010-12-03"	"4"
"2010-12-04"	"13"
"2010-12-05"	"22"
"2010-12-06"	"15"
"2010-12-07"	"13"
"2010-12-08"	"20"
"2010-12-09"	"10"
"2010-12-10"	"12"
"2010-12-11"	"15"
"2010-12-12"	"19"
"2010-12-13"	"10"
"2010-12-14"	"12"
"2010-12-15"	"12"
"2010-12-16"	"7"
"2010-12-17"	"10"
"2010-12-18"	"9"
"2010-12-19"	"13"
"2010-12-20"	"16"
"2010-12-21"	"4"
"2010-12-22"	"12"
"2010-12-23"	"7"
"2010-12-24"	"8"
"2010-12-25"	"28"
"2010-12-26"	"10"
"2010-12-27"	"10"
"2010-12-28"	"6"
"2010-12-29"	"4"
"2010-12-30"	"3"
"2010-12-31"	"4"
"2011-01-01"	"106"
"2011-01-02"	"26"
"2011-01-03"	"25"
"2011-01-04"	"22"
"2011-01-05"	"21"
"2011-01-06"	"16"
"2011-01-07"	"23"
"2011-01-08"	"25"
"2011-01-09"	"20"
"2011-01-10"	"27"
"2011-01-11"	"15"
"2011-01-12"	"33"
"2011-01-13"	"24"
"2011-01-14"	"28"
"2011-01-15"	"28"
"2011-01-16"	"24"
"2011-01-17"	"22"
"2011-01-18"	"22"
"2011-01-19"	"22"
"2011-01-20"	"27"
"2011-01-21"	"21"
"2011-01-22"	"22"
"2011-01-23"	"30"
"2011-01-24"	"25"
"2011-01-25"	"21"
"2011-01-26"	"18"
"2011-01-27"	"21"
"2011-01-28"	"28"
"2011-01-29"	"22"
"2011-01-30"	"19"
"2011-01-31"	"21"
"2011-02-01"	"53"
"2011-02-02"	"23"
